Phase,Intercept Length (pixels)
SE Background,21
SE Background,112
SE Background,38
SE Background,13
SE Background,40
SE Background,6
SE Background,4
SE Background,5
SE Background,6
SE Background,17
SE Background,8
SE Background,8
SE Background,11
SE Background,3
SE Background,7
SE Background,3
SE Background,81
SE Background,174
SE Background,30
SE Background,16
SE Background,6
SE Background,40
SE Background,84
SE Background,134
SE Background,50
SE Background,44
SE Background,35
SE Background,46
SE Background,13
SE Background,8
SE Background,4
SE Background,9
SE Background,3
SE Background,7
SE Background,2
SE Background,57
SE Background,243
SE Background,6
SE Background,43
SE Background,38
SE Background,45
SE Background,118
SE Background,5
SE Background,60
SE Background,1
SE Background,33
SE Background,48
SE Background,25
SE Background,24
SE Background,7
SE Background,14
SE Background,8
SE Background,4
SE Background,6
SE Background,4
SE Background,56
SE Background,1
SE Background,12
SE Background,169
SE Background,20
SE Background,54
SE Background,61
SE Background,38
SE Background,108
SE Background,55
SE Background,3
SE Background,179
SE Background,7
SE Background,29
SE Background,11
SE Background,7
SE Background,36
SE Background,42
SE Background,5
SE Background,179
SE Background,71
SE Background,9
SE Background,69
SE Background,37
SE Background,101
SE Background,58
SE Background,167
SE Background,8
SE Background,32
SE Background,30
SE Background,16
SE Background,42
SE Background,7
SE Background,2
SE Background,160
SE Background,47
SE Background,151
SE Background,38
SE Background,97
SE Background,46
SE Background,153
SE Background,7
SE Background,36
SE Background,32
SE Background,27
SE Background,14
SE Background,2
SE Background,159
SE Background,4
SE Background,36
SE Background,132
SE Background,11
SE Background,93
SE Background,32
SE Background,136
SE Background,5
SE Background,40
SE Background,11
SE Background,35
SE Background,6
SE Background,14
SE Background,11
SE Background,5
SE Background,4
SE Background,142
SE Background,146
SE Background,9
SE Background,87
SE Background,18
SE Background,54
SE Background,57
SE Background,5
SE Background,48
SE Background,32
SE Background,3
SE Background,7
SE Background,29
SE Background,5
SE Background,47
SE Background,33
SE Background,131
SE Background,76
SE Background,5
SE Background,11
SE Background,24
SE Background,53
SE Background,3
SE Background,39
SE Background,28
SE Background,4
SE Background,7
SE Background,41
SE Background,41
SE Background,29
SE Background,7
SE Background,109
SE Background,67
SE Background,22
SE Background,53
SE Background,4
SE Background,27
SE Background,21
SE Background,4
SE Background,39
SE Background,13
SE Background,39
SE Background,23
SE Background,4
SE Background,102
SE Background,63
SE Background,84
SE Background,6
SE Background,16
SE Background,12
SE Background,3
SE Background,38
SE Background,7
SE Background,5
SE Background,28
SE Background,22
SE Background,5
SE Background,37
SE Background,56
SE Background,15
SE Background,28
SE Background,33
SE Background,27
SE Background,2
SE Background,6
SE Background,9
SE Background,4
SE Background,38
SE Background,1
SE Background,52
SE Background,3
SE Background,36
SE Background,41
SE Background,14
SE Background,21
SE Background,31
SE Background,26
SE Background,3
SE Background,9
SE Background,12
SE Background,1
SE Background,4
SE Background,36
SE Background,1
SE Background,47
SE Background,2
SE Background,37
SE Background,34
